Time, Prediction, raw_pred, S, dbs, dba
2024-07-19 13:53:31.328157, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], [[[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] ... [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]]], [[[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] ... [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]]], -100.0
2024-07-19 13:53:34.008307, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], [[[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] ... [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]]], [[[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] ... [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]]], -100.0
2024-07-19 13:53:36.707183, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], [[[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] ... [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]] [[0.]  [0.]  [0.]  ...  [0.]  [0.]  [0.]]], [[[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] ... [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]] [[-100.]  [-100.]  [-100.]  ...  [-100.]  [-100.]  [-100.]]], -100.0
2024-07-19 15:25:00.509071, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:25:03.739582, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:25:06.965174, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:25:58.530428, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:26:01.752083, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:26:04.971185, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:26:08.192900, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:26:11.423486, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:26:14.636045, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:26:17.851939, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:28:50.275444, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:28:53.478029, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:28:56.675345, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:28:59.851619, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:29:35.454599, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:29:38.675829, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:29:41.915595, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:29:45.143055, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:29:48.354867, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:29:51.584880, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:29:54.810225, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:29:58.048644, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:01.285145, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:04.515568, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:07.734769, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:10.961864, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:14.179161, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:17.400683, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:20.626039, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:23.834898, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:27.088770, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:30.313512, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:33.547105, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:36.758556, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:39.998053, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:43.212513, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:46.429612, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:30:49.663434, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:35:54.095154, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:35:57.400849, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:00.557590, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:03.705387, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:06.903665, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:10.108154, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:13.284306, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:16.468184, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:19.685734, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:22.868402, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:37:40.754560, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:37:43.939518, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:08.561245, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:11.745332, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:14.956821, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
